Name,Short name,Electoral value,Previous winner,GOP %,DEM %,OTH %
Alabama,AL,9,GOP,64.57,34.1,1.33
Alaska,AK,3,GOP,54.54,41.41,4.05
Arizona,AZ,11,GOP,52.22,46.69,1.09
California,CA,54,DEM,38.33,58.47,3.2
Colorado,CO,10,DEM,43.14,54.13,2.73
Connecticut,CT,7,DEM,41.89,56.4,1.71
Delaware,DE,3,DEM,41.79,56.49,1.72
Washington DC,DC,3,DEM,6.47,90.28,3.25
Florida,FL,30,GOP,56.09,42.99,0.92
Georgia,GA,16,GOP,50.72,48.53,0.75
Hawaii,HI,4,DEM,37.48,60.59,1.53
Idaho,ID,4,GOP,66.87,30.38,2.75
Illinois,IL,19,DEM,43.47,54.37,2.16
Indiana,IN,11,GOP,58.58,39.62,1.8
Iowa,IA,6,GOP,55.73,42.52,1.75
Kansas,KS,6,GOP,57.16,41.04,1.8
Kentucky,KY,8,GOP,64.47,33.94,1.59
Louisiana,LA,8,GOP,60.22,38.21,1.57
Maine (at-large),ME-AL,2,DEM,45.46,52.4,2.14
Maine 1st,ME-01,1,DEM,38.09,59.69,2.22
Maine 2nd,ME-02,1,GOP,53.5,44.46,2.04
Maryland,MD,10,DEM,34.08,62.62,3.3
Massachusetts,MA,11,DEM,36.02,61.22,2.76
Michigan,MI,15,GOP,49.73,48.31,1.96
Minnesota,MN,10,DEM,46.68,50.92,2.4
Mississippi,MS,6,GOP,60.89,38,1.11
Missouri,MO,10,GOP,58.49,40.08,1.43
Montana,MT,4,GOP,58.39,38.46,3.15
Nebraska (at-large),NE-AL,2,GOP,59.32,38.86,1.82
Nebraska 1st,NE-01,1,GOP,55.49,42.52,1.99
Nebraska 2nd,NE-02,1,DEM,46.73,51.32,1.95
Nebraska 3rd,NE-03,1,GOP,76.03,22.44,1.53
Nevada,NV,6,GOP,50.59,47.49,1.92
New Hampshire,NH,4,DEM,47.87,50.65,1.48
New Jersey,NJ,14,DEM,46.06,51.97,1.97
New Mexico,NM,5,DEM,45.85,51.85,2.3
New York,NY,28,DEM,43.31,55.91,0.78
North Carolina,NC,16,GOP,50.86,47.65,1.49
North Dakota,ND,3,GOP,66.96,30.51,2.53
Ohio,OH,17,GOP,55.14,43.93,0.93
Oklahoma,OK,7,GOP,66.16,31.9,1.94
Oregon,OR,8,DEM,40.97,55.27,3.76
Pennsylvania,PA,19,GOP,50.37,48.66,0.97
Rhode Island,RI,4,DEM,41.76,55.54,2.7
South Carolina,SC,9,GOP,58.23,40.36,1.41
South Dakota,SD,3,GOP,63.43,34.24,2.33
Tennessee,TN,11,GOP,64.19,34.47,1.34
Texas,TX,40,GOP,56.14,42.46,1.4
Utah,UT,6,GOP,59.38,37.79,2.83
Vermont,VT,3,DEM,32.32,63.83,3.85
Virginia,VA,13,DEM,46.05,51.83,2.12
Washington,WA,12,DEM,39.01,57.23,3.76
West Virginia,WV,4,GOP,69.97,28.1,1.93
Wisconsin,WI,10,GOP,49.6,48.74,1.66
Wyoming,WY,3,GOP,71.6,25.84,2.56